DeepSMILES	39	0.812	48	9
SMILES	38	0.792	48	10
SELFIES	34	0.756	45	11
AIS	26	0.542	48	22
SmilesPE	3	0.25	12	9
DeepSMILES	45	0.818	55	10
SMILES	33	0.75	44	11
SELFIES	37	0.787	47	10
AIS	26	0.591	44	18
SmilesPE	1	0.059	17	16
DeepSMILES	23	0.657	35	12
SMILES	25	0.641	39	14
SELFIES	22	0.595	37	15
AIS	19	0.487	39	20
SmilesPE	0	0.0	10	10
DeepSMILES	49	0.845	58	9
SMILES	58	0.853	68	10
SELFIES	52	0.812	64	12
AIS	43	0.632	68	25
SmilesPE	3	0.167	18	15
DeepSMILES	14	0.56	25	11
SMILES	18	0.6	30	12
SELFIES	20	0.645	31	11
AIS	15	0.5	30	15
SmilesPE	1	0.125	8	7
DeepSMILES	20	0.625	32	12
SMILES	25	0.658	38	13
SELFIES	23	0.639	36	13
AIS	16	0.421	38	22
SmilesPE	1	0.091	11	10
DeepSMILES	30	0.789	38	8
SMILES	38	0.809	47	9
SELFIES	40	0.833	48	8
AIS	30	0.638	47	17
SmilesPE	2	0.133	15	13
DeepSMILES	33	0.805	41	8
SMILES	40	0.816	49	9
SELFIES	43	0.86	50	7
AIS	30	0.612	49	19
SmilesPE	1	0.067	15	14
DeepSMILES	51	0.797	64	13
SMILES	54	0.794	68	14
SELFIES	57	0.814	70	13
AIS	44	0.647	68	24
SmilesPE	3	0.13	23	20
DeepSMILES	58	0.866	67	9
SMILES	70	0.875	80	10
SELFIES	57	0.826	69	12
AIS	54	0.675	80	26
SmilesPE	2	0.111	18	16
DeepSMILES	33	0.805	41	8
SMILES	30	0.769	39	9
SELFIES	31	0.775	40	9
AIS	24	0.615	39	15
SmilesPE	3	0.25	12	9
DeepSMILES	78	0.867	90	12
SMILES	65	0.844	77	12
SELFIES	63	0.818	77	14
AIS	51	0.662	77	26
SmilesPE	3	0.158	19	16
DeepSMILES	22	0.71	31	9
SMILES	27	0.73	37	10
SELFIES	25	0.714	35	10
AIS	17	0.459	37	20
SmilesPE	3	0.273	11	8
DeepSMILES	62	0.795	78	16
SMILES	60	0.789	76	16
SELFIES	62	0.795	78	16
AIS	49	0.645	76	27
SmilesPE	0	0.0	20	20
DeepSMILES	33	0.805	41	8
SMILES	38	0.809	47	9
SELFIES	36	0.766	47	11
AIS	30	0.638	47	17
SmilesPE	3	0.231	13	10
DeepSMILES	24	0.667	36	12
SMILES	32	0.727	44	12
SELFIES	29	0.674	43	14
AIS	26	0.591	44	18
SmilesPE	0	0.0	10	10
DeepSMILES	49	0.817	60	11
SMILES	37	0.755	49	12
SELFIES	37	0.74	50	13
AIS	29	0.592	49	20
SmilesPE	0	0.0	10	10
DeepSMILES	25	0.658	38	13
SMILES	29	0.674	43	14
SELFIES	26	0.65	40	14
AIS	21	0.488	43	22
SmilesPE	0	0.0	11	11
DeepSMILES	56	0.848	66	10
SMILES	47	0.81	58	11
SELFIES	45	0.776	58	13
AIS	34	0.586	58	24
SmilesPE	1	0.071	14	13
DeepSMILES	35	0.814	43	8
SMILES	41	0.82	50	9
SELFIES	37	0.787	47	10
AIS	30	0.6	50	20
SmilesPE	3	0.25	12	9
DeepSMILES	41	0.837	49	8
SMILES	42	0.824	51	9
SELFIES	43	0.811	53	10
AIS	32	0.627	51	19
SmilesPE	1	0.067	15	14
DeepSMILES	30	0.811	37	7
SMILES	26	0.743	35	9
SELFIES	24	0.706	34	10
AIS	18	0.514	35	17
SmilesPE	0	0.0	10	10
DeepSMILES	22	0.667	33	11
SMILES	28	0.7	40	12
SELFIES	25	0.658	38	13
AIS	23	0.575	40	17
SmilesPE	0	0.0	8	8
DeepSMILES	34	0.81	42	8
SMILES	39	0.812	48	9
SELFIES	36	0.766	47	11
AIS	30	0.625	48	18
SmilesPE	2	0.154	13	11
DeepSMILES	28	0.718	39	11
SMILES	37	0.771	48	11
SELFIES	31	0.705	44	13
AIS	28	0.583	48	20
SmilesPE	0	0.0	12	12
DeepSMILES	33	0.805	41	8
SMILES	40	0.816	49	9
SELFIES	43	0.86	50	7
AIS	30	0.612	49	19
SmilesPE	1	0.067	15	14
DeepSMILES	34	0.81	42	8
SMILES	39	0.812	48	9
