CCc1sc(Br)cc1Br.Clc1ccc(I)cc1 CCC(Br)C(Br)c1cc(-c2ccc(Cl)cc2)sc1Br
O=C(O)c1cccnc1.O=C(c1ccccc1)c1cc(Cl)ccc1O O=C(Cl)c1cccnc1.O=C(Oc1ccc(Cl)cc1C(=O)c1ccccc1)c1cccnc1
CC(=O)NCc1cccc2c1C1(CCN(Cc3ccccc3)CC1)CN2c1ncnc2c1[C@H](C)C[C@H]2O CC(=O)NCc1cccc2c1C1(CCN(C(=O)OC(C)(C)C)CC1)CN2c1ncnc2c1[C@H](C)C[C@H]2O
COC(CN(C(=O)C1CCCCC1)c1ccccn1)OC O=C(N(C(=O)C1CCCCC1)c1ccccn1)OCc1ccccc1
C[C@](NC(=O)Cn1nc(-c2ccc(Cl)cc2)n(C[C@H](O)C(F)(F)F)c1=O)(C(N)=O)c1cccc(C(F)(F)F)c1 C[C@@](C#N)(NC(=O)Cn1nc(-c2ccc(Cl)cc2)n(C[C@H](O[Si](C)(C)C(C)(C)C)C(F)(F)F)c1=O)c1cccc(C(F)(F)F)c1
CCOC(=O)CBr.Nc1ccccc1 CCOC(=O)C=O.Nc1ccccc1
CC(C)c1ccc(Cl)c(-c2ccc(C(F)(F)F)cc2CBr)c1.COc1ccccc1[C@@H]1CCNC(=O)O1 CC(C)c1ccc(Cl)c(-c2ccc(C(F)(F)F)cc2CCl)c1.COc1ccccc1[C@@H]1CCNC(=O)O1
COC(=O)c1cc(O)n[nH]1.ClCc1ccc2ccccc2n1 COC(=O)c1cc(OCc2ccc3ccccc3n2)nn1C(=O)OC(C)(C)C
CCBr.O=C1CC2CNCCN2c2ccccc2N1 CCN1CCN2c3ccccc3NC(=O)C(C(=O)OC(C)(C)C)C2C1
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CCCn1nc(CC)c(C(=O)OC)c1Cc1ccc(-c2ccccc2S(N)(=O)=O)cc1 CC(C)(C)OC(=O)NS(=O)(=O)c1ccccc1-c1ccc(CBr)cc1.CCCn1nc(CC)c(C(=O)OC)c1Cc1ccc(B2OC(C)(C)C(C)(C)O2)cc1
COc1cc(N2CC[C@@H](NC(C)=O)C2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1 COc1cc(N2CC[C@@H](NC(=O)OC(C)(C)C)C2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1
CC(=O)Nc1cc2c(cc1[N+](=O)[O-])OC(C)O2 CC1Oc2cc([N+](=O)[O-])c(NC(=O)OC(C)(C)C)cc2O1
CC(C)(O)c1nc2c(N3CCOCC3)nc(Cl)nc2[nH]1.CCCCBr C1COCCN1.CCCCn1c(C(C)(C)O)nc2c(Cl)nc(Cl)nc21
CCN=C=O.Cn1cc(Nc2ncc(Cl)c(NC[C@H]3CCCN3)n2)cn1 CCNC(=O)N1CCC[C@@H]1CNc1nc(Cl)ncc1Cl.Cn1cc(N)cn1
BrCCCc1ccccc1.CCOC(=O)Nc1cc(-c2ccc(OC)cc2)nn(CC=Cc2ccc(Cl)cc2)c1=O CCOC(=O)Cl.COc1ccc(-c2cc(NCCCc3ccccc3)c(=O)n(CC=Cc3ccc(Cl)cc3)n2)cc1
OC1CCc2cnc3c(c21)CCO3 O=C1CCc2cnc(Cl)c(CCO)c21
C#Cc1nc(C)c(C(=O)NCc2ccccc2)s1.[N-]=[N+]=NCc1ccccc1 C#Cc1cn(Cc2ccccc2)nn1.Cc1nc(N=[N+]=[N-])sc1C(=O)NCc1ccccc1
CCOC(=O)N1CCC(N=C=S)CC1.CNc1ccccc1 CCOC(=O)N1CCC(N)CC1.CN(C(=S)Cl)c1ccccc1
CC(C)c1noc(N2CCC(O)CC2)n1 CC(C)c1noc(N2CCC3(CC2)OCCO3)n1
Cc1nn(-c2ccccn2)c(C)c1CO CN(C)C=O.Cc1nn(-c2ccccn2)c(C)c1Br
N#Cc1cccc(Br)c1.O=S1(=O)CCN2C(=N1)C1(c3ccc(O)cc3)CCC2CC1 N#Cc1cccc(B(O)O)c1.O=S1(=O)CCN2C(=N1)C1(c3ccc(O)cc3)CCC2CC1
CCOC(=O)C(C)(C)N[C@H]1CC[C@H](N)CC1 CC(C)(CO)N[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1
CC(C)(C)c1ccc(S(=O)(=O)N2Cc3ccc(C(F)(F)F)nc3Nc3ccc(-c4n[nH]c(=O)o4)cc32)cc1.CI CC(C)(C)c1ccc(S(=O)(=O)Cl)cc1.Cn1nc(-c2ccc3c(c2)NCc2ccc(C(F)(F)F)nc2N3)oc1=O
C[C@@H](O)c1cc(F)cc(F)c1.C[C@@H]1CNCCN1 C[C@@H](c1cc(F)cc(F)c1)N1CCN(C(=O)OC(C)(C)C)[C@H](C)C1
CN(C)CCCl.COc1cccc(C=Cc2nc3c(s2)NCCC3)c1OC CN(C)CCN1CCCc2nc(C[P+](c3ccccc3)(c3ccccc3)c3ccccc3)sc21.COc1cccc(C=O)c1OC
Cc1c(-c2ccc(=O)n(Cc3cccc(F)c3F)c2)c2cc(F)ccc2n1CC(=O)O Cc1c(-c2ccc(=O)n(Cc3cccc(F)c3F)c2)c2cc(F)ccc2n1CCO[Si](C)(C)C(C)(C)C
C1COCCN1.Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1CC[C@@H](NC(=O)NCCCCl)CC1 NCCCN1CCOCC1.Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1CC[C@@H](NC(=O)OCc2ccccc2)CC1
N#CCCn1c(CCCO)nc2ccccc21 CCOC(CCc1nc2ccccc2n1CCC#N)OCC
C=C(c1ccc(-c2ccnn2C)cc1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F C[C@@H](c1ccc(-c2ccnn2C)cc1)[C@](O)(COS(C)(=O)=O)c1ccc(F)cc1F.c1nc[nH]n1
Nc1ccccc1.O=C(O)c1cccc(-n2c(=O)n(C3CCC(NC(=O)c4cn5ccccc5n4)CC3)c(=O)c3cc(F)cnc32)c1 N[C@@H]1CC[C@@H](n2c(=O)c3cc(F)cnc3n(-c3cccc(C(=O)Nc4ccccc4)c3)c2=O)CC1.O=C(O)c1cn2ccccc2n1
C1CCN(C2CCNCC2)C1.N#Cc1ccc(-c2ccc(F)cc2)[nH]c1=O Brc1ccc(N2CCC(N3CCCC3)CC2)cc1.N#Cc1ccc(-c2ccc(N)cc2)[nH]c1=O
Cc1cc(C(F)(F)F)cc(Cl)n1.[NH4+] CC(=O)CC(=O)C(F)(F)F.NC(N)=S
BrCC1CC1.O=C(O)Cc1c(C(=O)c2ccccc2-c2ccccc2)[nH]c2ccccc12 COC(=O)Cc1c(C(=O)c2ccccc2-c2ccccc2)n(CC2CC2)c2ccccc12
CCOC(=O)CNc1ccc2oc3c(OC)ccc(C(=O)Nc4c(Cl)cncc4Cl)c3c2c1 COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2c1oc1ccc(NCC(=O)OC(C)(C)C)cc12
O=C(Cl)c1ccc([N+](=O)[O-])cc1Cl.c1ccc2c(c1)NCCc1cccn1-2 O=C(Cl)c1ccc([N+](=O)[O-])cc1Cl.c1ccc2c(c1)CCNc1ccccc1-2
COC(=O)CC[C@@H](CF)NC(=O)COc1ccc(Cl)cc1Cl N[C@@H](CCC(=O)O)C(=O)O.O=C(O)COc1ccc(Cl)cc1Cl
CCOc1cccc(C(=O)N2C[C@H](O)C[C@H]2C(=O)O)c1.NCc1ccc(-c2ccccc2)cc1 CCOc1cccc(C(=O)O)c1.O=C(NCc1ccc(-c2ccccc2)cc1)[C@@H]1C[C@@H](O)CN1
CC(C)OC(=O)N1CCC(Oc2ncnc3c2CCN3c2ccc(Br)cc2F)CC1.N#C[Cu] CC(C)OC(=O)N1CCC(O)CC1.N#Cc1ccc(N2CCc3c(Cl)ncnc32)c(F)c1
C[C@]12C[C@H](C(F)F)[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CCC2=O C[C@]12C[C@H](C(F)F)[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2OCc1ccccc1
CNc1c(N)cccc1N.O=C(O)Cc1c(Cl)cc(C(F)(F)F)cc1Cl Cn1c(Cc2c(Cl)cc(C(F)(F)F)cc2Cl)nc2cccc([N+](=O)[O-])c21
CC(=O)OC(C)=O.Nc1ccc(S[C@@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1 CC(=O)Nc1ccc(S[C@@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](COC(=O)c4ccccc4)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1
CCOC(=O)c1c(Br)ccnc1Cl.C[O-] CCOC(=O)c1c(Cl)ccnc1Cl.CO
COC(=O)c1nc(C#N)c2c(Oc3ccccc3)cccc2c1O.NCC(=O)O CCCCOC(=O)c1nc(C#N)c2c(Oc3ccccc3)cccc2c1O.NCC(=O)O
CC(=O)O.Nc1ccc(C(=O)O)c(F)c1 CC(=O)Nc1ccc(C(=O)OC(C)(C)C)c(F)c1
