DeepSMILES	26	0.722	36	10
SMILES	24	0.667	36	12
SELFIES	21	0.618	34	13
AIS	17	0.472	36	19
SmilesPE	0	0.0	10	10
DeepSMILES	34	0.739	46	12
SMILES	30	0.698	43	13
SELFIES	31	0.738	42	11
AIS	25	0.581	43	18
SmilesPE	0	0.0	9	9
DeepSMILES	37	0.804	46	9
SMILES	29	0.725	40	11
SELFIES	24	0.667	36	12
AIS	26	0.65	40	14
SmilesPE	0	0.0	5	5
DeepSMILES	74	0.902	82	8
SMILES	54	0.818	66	12
SELFIES	55	0.786	70	15
AIS	52	0.788	66	14
SmilesPE	3	0.15	20	17
DeepSMILES	8	0.471	17	9
SMILES	11	0.524	21	10
SELFIES	12	0.6	20	8
AIS	7	0.333	21	14
SmilesPE	0	0.0	4	4
DeepSMILES	76	0.916	83	7
SMILES	65	0.878	74	9
SELFIES	63	0.84	75	12
AIS	60	0.811	74	14
SmilesPE	5	0.312	16	11
DeepSMILES	19	0.731	26	7
SMILES	24	0.75	32	8
SELFIES	21	0.7	30	9
AIS	21	0.656	32	11
SmilesPE	0	0.0	7	7
DeepSMILES	10	0.625	16	6
SMILES	9	0.562	16	7
SELFIES	10	0.625	16	6
AIS	6	0.375	16	10
SmilesPE	1	0.1	10	9
DeepSMILES	36	0.8	45	9
SMILES	30	0.75	40	10
SELFIES	29	0.707	41	12
AIS	23	0.575	40	17
SmilesPE	0	0.0	7	7
DeepSMILES	21	0.778	27	6
SMILES	22	0.759	29	7
SELFIES	21	0.75	28	7
AIS	15	0.517	29	14
SmilesPE	0	0.0	7	7
DeepSMILES	27	0.73	37	10
SMILES	30	0.732	41	11
SELFIES	27	0.675	40	13
AIS	21	0.512	41	20
SmilesPE	0	0.0	8	8
DeepSMILES	19	0.731	26	7
SMILES	13	0.591	22	9
SELFIES	14	0.636	22	8
AIS	8	0.364	22	14
SmilesPE	0	0.0	6	6
DeepSMILES	39	0.796	49	10
SMILES	33	0.733	45	12
SELFIES	33	0.733	45	12
AIS	28	0.622	45	17
SmilesPE	0	0.0	7	7
DeepSMILES	77	0.875	88	11
SMILES	72	0.847	85	13
SELFIES	75	0.862	87	12
AIS	66	0.776	85	19
SmilesPE	1	0.077	13	12
DeepSMILES	18	0.667	27	9
SMILES	22	0.688	32	10
SELFIES	19	0.655	29	10
AIS	18	0.562	32	14
SmilesPE	0	0.0	4	4
DeepSMILES	37	0.822	45	8
SMILES	29	0.744	39	10
SELFIES	24	0.649	37	13
AIS	19	0.487	39	20
SmilesPE	0	0.0	5	5
DeepSMILES	19	0.613	31	12
SMILES	19	0.613	31	12
SELFIES	17	0.586	29	12
AIS	14	0.452	31	17
SmilesPE	0	0.0	9	9
DeepSMILES	16	0.667	24	8
SMILES	19	0.679	28	9
SELFIES	18	0.692	26	8
AIS	14	0.5	28	14
SmilesPE	0	0.0	4	4
DeepSMILES	80	0.899	89	9
SMILES	72	0.857	84	12
SELFIES	69	0.821	84	15
AIS	65	0.774	84	19
SmilesPE	0	0.0	18	18
DeepSMILES	46	0.836	55	9
SMILES	57	0.851	67	10
SELFIES	57	0.851	67	10
AIS	54	0.806	67	13
SmilesPE	9	0.409	22	13
DeepSMILES	55	0.859	64	9
SMILES	46	0.821	56	10
SELFIES	45	0.776	58	13
AIS	42	0.75	56	14
SmilesPE	5	0.357	14	9
DeepSMILES	9	0.562	16	7
SMILES	11	0.579	19	8
SELFIES	11	0.611	18	7
AIS	7	0.368	19	12
SmilesPE	0	0.0	3	3
DeepSMILES	70	0.875	80	10
SMILES	56	0.824	68	12
SELFIES	52	0.776	67	15
AIS	52	0.765	68	16
SmilesPE	2	0.154	13	11
DeepSMILES	59	0.831	71	12
SMILES	67	0.848	79	12
SELFIES	55	0.764	72	17
AIS	55	0.696	79	24
SmilesPE	0	0.0	11	11
DeepSMILES	24	0.75	32	8
SMILES	18	0.643	28	10
SELFIES	15	0.577	26	11
AIS	14	0.5	28	14
SmilesPE	0	0.0	5	5
DeepSMILES	29	0.806	36	7
SMILES	26	0.743	35	9
SELFIES	24	0.75	32	8
AIS	22	0.629	35	13
SmilesPE	0	0.0	7	7
DeepSMILES	62	0.873	71	9
SMILES	48	0.814	59	11
SELFIES	50	0.82	61	11
AIS	43	0.729	59	16
SmilesPE	0	0.0	11	11
DeepSMILES	42	0.792	53	11
SMILES	37	0.755	49	12
SELFIES	35	0.714	49	14
AIS	31	0.633	49	18
SmilesPE	0	0.0	11	11
DeepSMILES	66	0.857	77	11
SMILES	48	0.787	61	13
SELFIES	47	0.783	60	13
AIS	42	0.689	61	19
SmilesPE	0	0.0	8	8
DeepSMILES	31	0.705	44	13
SMILES	26	0.65	40	14
SELFIES	26	0.65	40	14
AIS	22	0.55	40	18
SmilesPE	0	0.0	8	8
DeepSMILES	10	0.476	21	11
SMILES	11	0.5	22	11
SELFIES	12	0.571	21	9
AIS	7	0.318	22	15
SmilesPE	0	0.0	9	9
DeepSMILES	23	0.742	31	8
SMILES	17	0.63	27	10
SELFIES	15	0.577	26	11
AIS	12	0.444	27	15
SmilesPE	0	0.0	5	5
DeepSMILES	34	0.773	44	10
SMILES	37	0.771	48	11
SELFIES	23	0.639	36	13
AIS	33	0.688	48	15
SmilesPE	1	0.111	9	8
DeepSMILES	105	0.875	120	15
SMILES	88	0.838	105	17
SELFIES	88	0.815	108	20
AIS	81	0.771	105	24
SmilesPE	9	0.281	32	23
DeepSMILES	24	0.727	33	9
SMILES	30	0.769	39	9
SELFIES	27	0.73	37	10
AIS	26	0.667	39	13
SmilesPE	1	0.111	9	8
DeepSMILES	113	0.926	122	9
SMILES	123	0.866	142	19
SELFIES	0	0.0	1	1
AIS	125	0.88	142	17
SmilesPE	36	0.562	64	28
DeepSMILES	27	0.75	36	9
SMILES	28	0.718	39	11
SELFIES	29	0.763	38	9
AIS	23	0.59	39	16
SmilesPE	0	0.0	8	8
DeepSMILES	46	0.821	56	10
SMILES	37	0.755	49	12
SELFIES	36	0.735	49	13
AIS	29	0.592	49	20
SmilesPE	0	0.0	6	6
DeepSMILES	52	0.867	60	8
SMILES	48	0.828	58	10
SELFIES	47	0.77	61	14
AIS	43	0.741	58	15
SmilesPE	7	0.412	17	10
DeepSMILES	39	0.78	50	11
SMILES	37	0.755	49	12
SELFIES	34	0.723	47	13
AIS	29	0.592	49	20
SmilesPE	0	0.0	8	8
DeepSMILES	68	0.944	72	4
SMILES	60	0.909	66	6
SELFIES	61	0.897	68	7
AIS	58	0.879	66	8
SmilesPE	5	0.357	14	9
DeepSMILES	36	0.8	45	9
SMILES	32	0.744	43	11
SELFIES	30	0.714	42	12
AIS	28	0.651	43	15
SmilesPE	0	0.0	6	6
DeepSMILES	71	0.826	86	15
SMILES	62	0.795	78	16
SELFIES	65	0.812	80	15
AIS	50	0.641	78	28
SmilesPE	2	0.118	17	15
DeepSMILES	16	0.696	23	7
SMILES	18	0.692	26	8
SELFIES	16	0.667	24	8
AIS	15	0.577	26	11
SmilesPE	0	0.0	7	7
DeepSMILES	31	0.756	41	10
SMILES	23	0.676	34	11
SELFIES	22	0.667	33	11
AIS	17	0.5	34	17
SmilesPE	0	0.0	8	8
DeepSMILES	25	0.758	33	8
SMILES	29	0.763	38	9
SELFIES	26	0.722	36	10
AIS	23	0.605	38	15
SmilesPE	0	0.0	7	7
DeepSMILES	15	0.6	25	10
SMILES	13	0.52	25	12
SELFIES	11	0.478	23	12
AIS	6	0.24	25	19
SmilesPE	0	0.0	4	4
DeepSMILES	14	0.583	24	10
SMILES	18	0.621	29	11
SELFIES	16	0.593	27	11
AIS	13	0.448	29	16
SmilesPE	0	0.0	6	6
DeepSMILES	11	0.55	20	9
SMILES	13	0.565	23	10
SELFIES	10	0.455	22	12
AIS	7	0.304	23	16
SmilesPE	0	0.0	6	6
DeepSMILES	34	0.81	42	8
SMILES	28	0.737	38	10
SELFIES	26	0.684	38	12
AIS	24	0.632	38	14
SmilesPE	0	0.0	6	6
DeepSMILES	19	0.679	28	9
SMILES	18	0.643	28	10
SELFIES	18	0.643	28	10
AIS	15	0.536	28	13
SmilesPE	1	0.125	8	7
DeepSMILES	87	0.906	96	9
SMILES	71	0.866	82	11
SELFIES	74	0.86	86	12
AIS	67	0.817	82	15
SmilesPE	1	0.071	14	13
DeepSMILES	71	0.866	82	11
SMILES	85	0.867	98	13
SELFIES	91	0.875	104	13
AIS	78	0.796	98	20
SmilesPE	12	0.387	31	19
DeepSMILES	19	0.679	28	9
SMILES	24	0.706	34	10
SELFIES	20	0.69	29	9
AIS	20	0.588	34	14
SmilesPE	2	0.154	13	11
DeepSMILES	18	0.667	27	9
SMILES	14	0.56	25	11
SELFIES	13	0.542	24	11
AIS	9	0.36	25	16
SmilesPE	0	0.0	3	3
DeepSMILES	13	0.619	21	8
SMILES	16	0.64	25	9
SELFIES	18	0.72	25	7
AIS	11	0.44	25	14
SmilesPE	0	0.0	4	4
DeepSMILES	46	0.793	58	12
SMILES	40	0.769	52	12
SELFIES	36	0.692	52	16
AIS	33	0.635	52	19
SmilesPE	1	0.091	11	10
DeepSMILES	36	0.818	44	8
SMILES	41	0.804	51	10
SELFIES	35	0.745	47	12
AIS	28	0.549	51	23
SmilesPE	0	0.0	8	8
DeepSMILES	69	0.885	78	9
SMILES	55	0.809	68	13
SELFIES	55	0.797	69	14
AIS	48	0.706	68	20
SmilesPE	0	0.0	12	12
DeepSMILES	155	0.934	166	11
SMILES	129	0.896	144	15
SELFIES	0	0.0	1	1
AIS	126	0.875	144	18
SmilesPE	28	0.571	49	21
DeepSMILES	29	0.707	41	12
SMILES	26	0.667	39	13
SELFIES	21	0.6	35	14
AIS	21	0.538	39	18
SmilesPE	0	0.0	6	6
DeepSMILES	11	0.611	18	7
SMILES	13	0.619	21	8
SELFIES	10	0.556	18	8
AIS	13	0.619	21	8
SmilesPE	0	0.0	4	4
DeepSMILES	39	0.848	46	7
SMILES	32	0.8	40	8
SELFIES	32	0.821	39	7
AIS	27	0.675	40	13
SmilesPE	1	0.143	7	6
DeepSMILES	63	0.913	69	6
SMILES	61	0.897	68	7
SELFIES	59	0.855	69	10
AIS	58	0.853	68	10
SmilesPE	4	0.364	11	7
DeepSMILES	38	0.826	46	8
SMILES	32	0.762	42	10
SELFIES	31	0.738	42	11
AIS	29	0.69	42	13
SmilesPE	1	0.143	7	6
DeepSMILES	36	0.766	47	11
SMILES	38	0.76	50	12
SELFIES	34	0.723	47	13
AIS	30	0.6	50	20
SmilesPE	0	0.0	8	8
DeepSMILES	86	0.925	93	7
SMILES	94	0.904	104	10
SELFIES	96	0.881	109	13
AIS	91	0.875	104	13
SmilesPE	16	0.516	31	15
DeepSMILES	19	0.704	27	8
SMILES	19	0.679	28	9
SELFIES	19	0.679	28	9
AIS	14	0.5	28	14
SmilesPE	0	0.0	6	6
DeepSMILES	9	0.562	16	7
SMILES	11	0.579	19	8
SELFIES	10	0.588	17	7
AIS	8	0.421	19	11
SmilesPE	0	0.0	4	4
DeepSMILES	15	0.625	24	9
SMILES	19	0.655	29	10
SELFIES	17	0.607	28	11
AIS	14	0.483	29	15
SmilesPE	0	0.0	6	6
DeepSMILES	29	0.744	39	10
